Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,16.4676840857403,17.3219430335689,17.804132917267,18.2029345963076,19.8346436163563,17.5100002288818,..
Albania,ALB,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,90.2688350163581,90.7103196946053,91.9102782676077,91.8594948155496,92.1410670317753,93.2300033569336,..
Albania,ALB,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,16.8396263737356,..,..,..,..,..,..
Albania,ALB,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,97.0979549552646,97.44444677505,97.9050467189076,97.8259353930781,97.8531397166699,99.2799987792969,..
Albania,ALB,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,16.8396263737356,17.6892036417258,18.1971486350962,18.5665908662464,20.4319507015874,20.4400005340576,..
Albania,ALB,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,49.8858232395536,50.7128654950488,51.0498413335601,51.8425099304159,53.2684854264147,53.9700012207031,..
Albania,ALB,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,13.6559703604736,14.6912834496667,14.9476177415853,15.0756803068772,16.1791237773492,11.3800001144409,..
Albania,ALB,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,0.220399885127739,0.230095075322552,0.217418849672624,0.309884167661349,0.239959336744538,0.330000013113022,..
Andorra,AND,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,25.0400009155273,..,..
Andorra,AND,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,83.1600036621094,..,..
