CountryName,ISO3,PI_B_2019,PI_B_2023,SES_2019,SES_2023
Albania,ALB,7.34,6.52,13.32,9.21
Austria,AUT,2.57,NA,13.19,NA
Belgium (Flemish),BEL,3.84,3.43,13.32,13.11
Belgium (French),BFR,NA,4.46,NA,14.45
Bosnia and Herzegovina,BIH,3.47,3.43,9.80,11.54
Bulgaria,BGR,10.78,11.17,17.85,21.76
Croatia,HRV,6.51,NA,11.59,NA
Czech Republic,CZE,2.28,0.65,13.57,16.58
Denmark,DNK,3.63,2.67,8.91,13.03
Finland,FIN,2.71,3.38,12.47,14.58
France,FRA,5.83,5.09,14.69,16.02
Germany,DEU,2.64,2.16,12.25,16.42
Hungary,HUN,2.27,4.37,18.50,19.79
Ireland,IRL,5.58,5.36,15.47,14.55
Italy,ITA,3.04,2.65,8.35,10.80
Latvia,LVA,3.25,2.91,12.83,12.75
Lithuania,LTU,1.89,1.84,15.31,16.44
Montenegro,MNE,3.99,3.89,9.87,9.45
Netherlands,NLD,NA,NA,NA,NA
North Macedonia,MKD,6.30,5.54,13.00,11.07
Norway,NOR,3.39,4.77,10.77,12.38
Poland,POL,2.55,1.04,12.82,15.04
Portugal,PRT,4.47,4.69,13.00,13.10
Romania,ROU,NA,4.42,NA,14.81
Serbia,SRB,7.41,4.24,15.74,17.22
Slovak Republic,SVK,2.91,4.57,15.30,16.85
Slovenia,SVN,NA,2.50,NA,13.47
Spain,ESP,5.03,3.89,11.58,13.71
Sweden,SWE,2.05,2.41,13.37,15.18
