Variable code,Variable,Helper,Scale,Missing/Omitted,Questionnaire Type,2023,2024,Change,Matched,Category,Add to Master
ASBG01,GEN\SEX OF STUDENT (2023),GEN\SEX OF STUDENT,1: Girl; 2: Boy; 3: <Other>,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,✓,,Both,,Demographic,
ASBLG01,GEN\SEX OF STUDENT (2024),GEN\SEX OF STUDENT,1: Girl; 2: Boy; 3: <Other>,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,,✓,Both,,Demographic,
ASBH05,GEN\AGE OF CHILD BEGINNING SCHOOL (2023),GEN\AGE OF CHILD BEGINNING SCHOOL,1: 5 years old or younger; 2: 6 years old; 3: 7 years old; 4: 8 years old or older,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,2023 only,,ECE,
ASBH04AA,GEN\ATTEND\EARLY CHILDHOOD EDUCATION (2023),GEN\ATTEND\EARLY CHILDHOOD EDUCATION,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,2023 only,,ECE,
ASBH04AB,GEN\ATTEND\PRE PRIMARY EDUCATION (2023),GEN\ATTEND\PRE PRIMARY EDUCATION,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,2023 only,,ECE,
ASBH04B,GEN\HOW LONG ATTENDED PROGRAMS (2023),GEN\HOW LONG ATTENDED PROGRAMS,1: Did not attend; 2: Less than 1 year; 3: 1 year; 4: 2 years; 5: 3 years; 6: 4 years or more,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,2023 only,,ECE,
ASDHAPS,Student Attended Preprimary Education (2023),Student Attended Preprimary Education,1: Did Not Attend; 2: 1 Year or Less; 3: 2 Years; 4: 3 Years or More,9: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,✓,,2023 only,,ECE,
ASBH10,GEN\AMOUNT OF BOOKS AT HOME (2023),GEN\AMOUNT OF BOOKS AT HOME,1: 0–10; 2: 11–25; 3: 26–100; 4: 101–200; 5: More than 200,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,Both,,Home Resources,
ASBLH08,GEN\AMOUNT OF BOOKS AT HOME (2024),GEN\AMOUNT OF BOOKS AT HOME,1: 0–10; 2: 11–25; 3: 26–100; 4: 101–200; 5: More than 200,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,,✓,Both,,Home Resources,
ASBH11,GEN\AMOUNT OF BOOKS FOR CHILDREN AT HOME (2023),GEN\AMOUNT OF BOOKS FOR CHILDREN AT HOME,1: 0–10; 2: 11–25; 3: 26–50; 4: 51–100; 5: More than 100,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,Both,,Home Resources,
ASBLH09,GEN\AMOUNT OF BOOKS FOR CHILDREN AT HOME (2024),GEN\AMOUNT OF BOOKS FOR CHILDREN AT HOME,1: 0–10; 2: 11–25; 3: 26–50; 4: 51–100; 5: More than 100,9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,,✓,Both,,Home Resources,
