Label_clean,Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Field Code: SPSS,Domain,Level,Helper,Column_category
ACBG01,"What is the total enrollment of students in your school as of <first day of month TIMSS testing begins, 2023>?",ACBG01,,ScQ-01,,School,ACBG01,✓,,,,,,,,,
ACBG02,"What is the total enrollment of <fourth grade> students in your school as of <first day of month TIMSS testing begins, 2023>?",ACBG02,ACBLG01,ScQ-02,ScQ-01,School,ACBG02,✓,✓,✓,,,,,,,
ASBG02A,When were you born? Month,ASBG02A,ASBLG02A,SQG-02a,SQG-02A,Student,ASBG02A,✓,✓,✓,,,,,,,
ASBG02B,When were you born? Year,ASBG02B,ASBLG02B,SQG-02b,SQG-02B,Student,ASBG02B,✓,✓,✓,,,,,,,
GEN\<SPECIALIZATION>\LANGUAGE-READING,"If your major or main area of study was education, did you have a <specialization> in any of the following? Language/reading",ATBG05BC,ATBLG05BC,TQG-05Bc,TQG-05Bc,Teacher,GEN\<SPECIALIZATION>\LANGUAGE-READING (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\<SPECIALIZATION>\MATHEMATICS,"If your major or main area of study was education, did you have a <specialization> in any of the following? Mathematics",ATBG05BA,ATBLG05BA,TQG-05Ba,TQG-05Ba,Teacher,GEN\<SPECIALIZATION>\MATHEMATICS (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\<SPECIALIZATION>\OTHER_SUBJECT,"If your major or main area of study was education, did you have a <specialization> in any of the following? Other subject",ATBG05BD,ATBLG05BD,TQG-05Bd,TQG-05Bd,Teacher,GEN\<SPECIALIZATION>\OTHER SUBJECT (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\<SPECIALIZATION>\SCIENCE,"If your major or main area of study was education, did you have a <specialization> in any of the following? Science",ATBG05BB,ATBLG05BB,TQG-05Bb,TQG-05Bb,Teacher,GEN\<SPECIALIZATION>\SCIENCE (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\ABOUT_HOW_OFTEN_ABSENT_FROM_SCHOOL,About how often are you absent from school?,ASBG08,ASBLG06,SQG-08,SQG-06,Student,GEN\ABOUT HOW OFTEN ABSENT FROM SCHOOL (2023),✓,✓,✓,1: Once a week; 2: Once every two weeks; 3: Once a month; 4: Once every two months; 5: Never or almost never,9: Omitted or invalid; Sysmis: Not administered,1: Once a week; 2: Once every two weeks; 3: Once a month; 4: Once every two months; 5: Never or almost never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\ACCESS_TO_COMPUTERS\LAB_CLASSTIME,What access do <fifth grade> students in your school have to computers or tablets? The school has a physical computer lab where teachers can reserve time during class,,ACBLG06A,,ScQ-06a,School,GEN\ACCESS TO COMPUTERS\LAB CLASSTIME (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\ACCESS TO COMPUTERS\LAB CLASSTIME,Background Questionnaire Variables
GEN\ACCESS_TO_COMPUTERS\LAB_OUTSIDE_CLASS,What access do <fifth grade> students in your school have to computers or tablets? The school has a physical computer lab that students can use before or after school or during class breaks,,ACBLG06B,,ScQ-06b,School,GEN\ACCESS TO COMPUTERS\LAB OUTSIDE CLASS (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\ACCESS TO COMPUTERS\LAB OUTSIDE CLASS,Background Questionnaire Variables
GEN\ACCESS_TO_COMPUTERS\LAPTOPS_AT_HOME,What access do <fifth grade> students in your school have to computers or tablets? The school provides laptops or tablets that students can use for class and take home,,ACBLG06D,,ScQ-06d,School,GEN\ACCESS TO COMPUTERS\LAPTOPS AT HOME (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\ACCESS TO COMPUTERS\LAPTOPS AT HOME,Background Questionnaire Variables
GEN\ACCESS_TO_COMPUTERS\LAPTOPS_DURING_CLASS,What access do <fifth grade> students in your school have to computers or tablets? The school has mobile laptops or tablets that teachers can reserve to use during class,,ACBLG06C,,ScQ-06c,School,GEN\ACCESS TO COMPUTERS\LAPTOPS DURING CLASS (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\ACCESS TO COMPUTERS\LAPTOPS DURING CLASS,Background Questionnaire Variables
GEN\AGE_OF_CHILD_BEGINNING_SCHOOL,How old was your child when he/she began the <first grade> of primary/elementary school?,ASBH05,,HQ-05,,Home,GEN\AGE OF CHILD BEGINNING SCHOOL (2023),✓,,,1: 5 years old or younger; 2: 6 years old; 3: 7 years old; 4: 8 years old or older,9: Omitted or invalid; Sysmis: Not administered,1: 5 years old or younger; 2: 6 years old; 3: 7 years old; 4: 8 years old or older; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\AGE OF CHILD BEGINNING SCHOOL,Background Questionnaire Variables
GEN\AGE_OF_CHILD_WHEN_CAME_TO_<COUNTRY>,"How old was your child when he/she came to <country>?
",ASBH02B,,HQ-02B,,Home,GEN\AGE OF CHILD WHEN CAME TO <COUNTRY> (2023),✓,,,1: Younger than 3 years old; 2: 3 to 5 years old; 3: 6 to 7 years old; 4: 8 years old or older,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Younger than 3 years old; 2: 3 to 5 years old; 3: 6 to 7 years old; 4: 8 years old or older; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
