Variable,Label,Question Location,Level,Width,Decimals,Range Minimum,Range Maximum,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Missing Scheme Detailed: SAS,Field Code: SPSS,Field Code: SAS,Domain,Variable Class,Comment
CTY,Country Alpha3,,Not defined,5,0,,,"GEO: Georgia; ITA: Italy; JOR: Jordan; KOR: Korea, Rep. Of; MKD: North Macedonia; MNE: Montenegro; SVN: Slovenia; SWE: Sweden; XKX: Kosovo",,,"GEO: Georgia; ITA: Italy; JOR: Jordan; KOR: Korea, Rep. Of; MKD: North Macedonia; MNE: Montenegro; SVN: Slovenia; SWE: Sweden; XKX: Kosovo","GEO: Georgia; ITA: Italy; JOR: Jordan; KOR: Korea, Rep. Of; MKD: North Macedonia; MNE: Montenegro; SVN: Slovenia; SWE: Sweden; XKX: Kosovo",Calculated at IEA,,
IDCNTRY,Numeric Country Code,,Nominal,10,0,,,"268: Georgia; 380: Italy; 400: Jordan; 410: Korea, Rep. Of; 807: North Macedonia; 499: Montenegro; 705: Slovenia; 752: Sweden; 411: Kosovo",,,"268: Georgia; 380: Italy; 400: Jordan; 410: Korea, Rep. Of; 807: North Macedonia; 499: Montenegro; 705: Slovenia; 752: Sweden; 411: Kosovo","268: Georgia; 380: Italy; 400: Jordan; 410: Korea, Rep. Of; 807: North Macedonia; 499: Montenegro; 705: Slovenia; 752: Sweden; 411: Kosovo",ID Variables,ID,
IDPOP,Population ID,,Nominal,1,0,,,1: Pop 1; 2: Pop 2,,,1: Pop 1; 2: Pop 2;,1: Pop 1; 2: Pop 2,ID Variables,ID,
IDGRADER_23,Standardized Grade ID (2023),,Nominal,1,0,,,1: Lower Grade; 2: Upper Grade,,,1: Lower Grade; 2: Upper Grade;,1: Lower Grade; 2: Upper Grade,Calculated at IEA,IEA_D,
IDGRADER_24,Standardized Grade ID (2024),,Nominal,1,0,,,1: Lower Grade; 2: Upper Grade,,,1: Lower Grade; 2: Upper Grade;,1: Lower Grade; 2: Upper Grade,Calculated at IEA,IEA_D,
IDGRADE_23,Grade ID (2023),,Nominal,1,0,,,3: Grade 3; 4: Grade 4; 5: Grade 5; 6: Grade 6,,,3: Grade 3; 4: Grade 4; 5: Grade 5; 6: Grade 6;,3: Grade 3; 4: Grade 4; 5: Grade 5; 6: Grade 6,Calculated at IEA,IEA_D,
IDGRADE_24,Grade ID (2024),,Nominal,1,0,,,3: Grade 3; 4: Grade 4; 5: Grade 5; 6: Grade 6,,,3: Grade 3; 4: Grade 4; 5: Grade 5; 6: Grade 6;,3: Grade 3; 4: Grade 4; 5: Grade 5; 6: Grade 6,Calculated at IEA,IEA_D,
IDSCHOOL,School ID,,Nominal,4,0,5001,9900,,,,,,ID Variables,ID,
ITLANG_CQ_23,Language of School Questionnaire (2023),,Nominal,2,0,,,5: Albanian; 14: Georgian; 20: Italian; 23: Macedonian; 32: Swedish; 47: Korean; 53: Arabic; 67: Montenegrin (Cyrillic); 79: Slovenian,99: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,5: Albanian; 14: Georgian; 20: Italian; 23: Macedonian; 32: Swedish; 47: Korean; 53: Arabic; 67: Montenegrin (Cyrillic); 79: Slovenian; 99: Omitted or invalid; Sysmis: Not administered,5: Albanian; 14: Georgian; 20: Italian; 23: Macedonian; 32: Swedish; 47: Korean; 53: Arabic; 67: Montenegrin (Cyrillic); 79: Slovenian; .: Omitted or invalid; .A: Not administered,Calculated at IEA,IEA_D,
ITLANG_CQ_24,Language of School Questionnaire (2024),,Nominal,2,0,,,5: Albanian; 14: Georgian; 20: Italian; 23: Macedonian; 32: Swedish; 47: Korean; 53: Arabic; 67: Montenegrin (Cyrillic); 79: Slovenian,99: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,5: Albanian; 14: Georgian; 20: Italian; 23: Macedonian; 32: Swedish; 47: Korean; 53: Arabic; 67: Montenegrin (Cyrillic); 79: Slovenian; 99: Omitted or invalid; Sysmis: Not administered,5: Albanian; 14: Georgian; 20: Italian; 23: Macedonian; 32: Swedish; 47: Korean; 53: Arabic; 67: Montenegrin (Cyrillic); 79: Slovenian; .: Omitted or invalid; .A: Not administered,Calculated at IEA,IEA_D,
