Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Read books",ASBH01A,,HQ-01a,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Tell stories",ASBH01B,,HQ-01b,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Sing songs",ASBH01C,,HQ-01c,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Play with alphabet toys (e.g., blocks with letters of the alphabet)",ASBH01D,,HQ-01d,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Talk about things you had done",ASBH01E,,HQ-01e,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Talk about what you had read",ASBH01F,,HQ-01f,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Play word games",ASBH01G,,HQ-01g,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Write letters or words",ASBH01H,,HQ-01h,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Read aloud signs and labels",ASBH01I,,HQ-01i,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Say counting rhymes or sing counting songs",ASBH01J,,HQ-01j,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Play with number toys (e.g., blocks with numbers)",ASBH01K,,HQ-01k,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Count different things",ASBH01L,,HQ-01l,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Play games involving shapes (e.g., shape sorting toys, puzzles)",ASBH01M,,HQ-01m,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Play with building blocks or construction toys",ASBH01N,,HQ-01n,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Play board or card games",ASBH01O,,HQ-01o,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Write numbers",ASBH01P,,HQ-01p,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Draw shapes",ASBH01Q,,HQ-01q,,Home,,✓,,
"Before your child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? Measure or weigh things (e.g., when cooking)",ASBH01R,,HQ-01r,,Home,,✓,,
"Was your child born in <country>?
",ASBH02A,,HQ-02A,,Home,,✓,,
"How old was your child when he/she came to <country>?
",ASBH02B,,HQ-02B,,Home,,✓,,
What language did your child speak before he/she began school? <language of test>,ASBH03A,,HQ-03a,,Home,,✓,,
What language did your child speak before he/she began school? <country-specific>,ASBH03B,,HQ-03b,,Home,,✓,,
What language did your child speak before he/she began school? <country-specific>,ASBH03C,,HQ-03c,,Home,,✓,,
What language did your child speak before he/she began school? <country-specific>,ASBH03D,,HQ-03d,,Home,,✓,,
What language did your child speak before he/she began school? <country-specific>,ASBH03E,,HQ-03e,,Home,,✓,,
What language did your child speak before he/she began school? Other,ASBH03F,,HQ-03f,,Home,,✓,,
"Did your child attend the following before <first grade>? Early childhood educational program or center for children under age 3
",ASBH04AA,,HQ-04Aa,,Home,,✓,,
"Did your child attend the following before <first grade>? Pre-primary educational program for children age 3 or older, including <Kindergarten>",ASBH04AB,,HQ-04Ab,,Home,,✓,,
"Approximately, how long was your child in these programs altogether?
",ASBH04B,,HQ-04B,,Home,,✓,,
How old was your child when he/she began the <first grade> of primary/elementary school?,ASBH05,,HQ-05,,Home,,✓,,
How well could your child do the following when he/she began the <first grade> of primary/elementary school? Recognize the letters of the alphabet,ASBH06A,,HQ-06a,,Home,,✓,,
How well could your child do the following when he/she began the <first grade> of primary/elementary school? Read some words,ASBH06B,,HQ-06b,,Home,,✓,,
How well could your child do the following when he/she began the <first grade> of primary/elementary school? Read sentences,ASBH06C,,HQ-06c,,Home,,✓,,
How well could your child do the following when he/she began the <first grade> of primary/elementary school? Read a story,ASBH06D,,HQ-06d,,Home,,✓,,
How well could your child do the following when he/she began the <first grade> of primary/elementary school? Write letters of the alphabet,ASBH06E,,HQ-06e,,Home,,✓,,
How well could your child do the following when he/she began the <first grade> of primary/elementary school? Write his/her name,ASBH06F,,HQ-06f,,Home,,✓,,
How well could your child do the following when he/she began the <first grade> of primary/elementary school? Write words other than his/her name,ASBH06G,,HQ-06g,,Home,,✓,,
Could your child do the following when he/she began the <first grade> of primary/elementary school? Count by himself/herself,ASBH07A,,HQ-07a,,Home,,✓,,
Could your child do the following when he/she began the <first grade> of primary/elementary school? Recognize written numbers,ASBH07B,,HQ-07b,,Home,,✓,,
Could your child do the following when he/she began the <first grade> of primary/elementary school? Write numbers,ASBH07C,,HQ-07c,,Home,,✓,,
Could your child do the following when he/she began the <first grade> of primary/elementary school? Do simple addition,ASBH07D,,HQ-07d,,Home,,✓,,
Could your child do the following when he/she began the <first grade> of primary/elementary school? Do simple subtraction,ASBH07E,,HQ-07e,,Home,,✓,,
What do you think of your child's school? My child's school does a good job including me in my child's education,ASBH08A,ASBLH01A,HQ-08a,HQ-01a,Home,,✓,✓,✓
What do you think of your child's school? My child's school provides a safe environment,ASBH08B,ASBLH01B,HQ-08b,HQ-01b,Home,,✓,✓,✓
What do you think of your child's school? My child's school cares about my child's progress in school,ASBH08C,ASBLH01C,HQ-08c,HQ-01c,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job informing me of his/her progress,ASBH08D,ASBLH01D,HQ-08d,HQ-01d,Home,,✓,✓,✓
What do you think of your child's school? My child's school promotes high academic standards,ASBH08E,ASBLH01E,HQ-08e,HQ-01e,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job in helping him/her become better in reading,ASBH08F,ASBLH01F,HQ-08f,HQ-01f,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job in helping him/her become better in mathematics,ASBH08G,ASBLH01G,HQ-08g,HQ-01g,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job in helping him/her become better in science,ASBH08H,ASBLH01H,HQ-08h,HQ-01h,Home,,✓,✓,✓
